State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Orange,Orange,"Grade B",05/03/2026,7000,7400,7200
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Lemon,Lemon,"Grade A",05/03/2026,7800,8200,8000
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC","Bhindi(Ladies Finger)",Bhindi,"Grade A",05/03/2026,7300,7700,7500
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Potato,Jalander,Medium,05/03/2026,500,700,600
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Cabbage,Cabbage,Local,05/03/2026,500,700,600
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC","Bitter gourd","Bitter Gourd","Grade Range-1",05/03/2026,5300,5700,5500
Rajasthan,Ganganagar,"Sriganganagar (F&V) APMC",Spinach,Spinach,Local,05/03/2026,800,1200,1000
Assam,Nagaon,"Ambagan APMC",Brinjal,Brinjal,FAQ,05/03/2026,1800,2000,1900
Assam,Nagaon,"Ambagan APMC",Beetroot,Beetroot,FAQ,05/03/2026,1900,2100,2000
Assam,Nagaon,"Ambagan APMC",Cabbage,Cabbage,FAQ,05/03/2026,1100,1300,1200
Assam,Nagaon,"Ambagan APMC",Raddish,Raddish,FAQ,05/03/2026,700,900,800
Assam,Nagaon,"Haibargaon APMC",Cauliflower,Cauliflower,FAQ,05/03/2026,1100,1300,1200
Assam,Nagaon,"Haibargaon APMC",Pumpkin,Pumpkin,FAQ,05/03/2026,900,1100,1000
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Onion,Bellary,Local,05/03/2026,2600,2800,2700
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Garlic,Garlic,Local,05/03/2026,12000,13000,12500
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Pumpkin,Pumpkin,Local,05/03/2026,1800,2000,1900
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Cowpea(Veg),"Cowpea (Veg)",Local,05/03/2026,4500,5000,4750
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Coconut,Coconut,Local,05/03/2026,6500,7000,6750
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Beetroot,Beetroot,Local,05/03/2026,2800,3000,2900
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)","Chow Chow","Chow Chow",Local,05/03/2026,2600,2800,2700
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Brinjal,Round,Local,05/03/2026,2500,3000,2750
